Iteracao,Prob_Manter,Prob_Trocar
415,0.306024,0.693976
416,0.305288,0.694712
417,0.304556,0.695444
418,0.303828,0.696172
419,0.303103,0.696897
420,0.304762,0.695238
421,0.304038,0.695962
422,0.303318,0.696682
423,0.304965,0.695035
424,0.304245,0.695755
425,0.305882,0.694118
426,0.305164,0.694836
427,0.306792,0.693208
428,0.306075,0.693925
429,0.305361,0.694639
430,0.306977,0.693023
431,0.306265,0.693735
432,0.307870,0.692130
433,0.309469,0.690531
434,0.311060,0.688940
435,0.310345,0.689655
436,0.309633,0.690367
437,0.308924,0.691076
438,0.308219,0.691781
439,0.307517,0.692483
440,0.309091,0.690909
441,0.310658,0.689342
442,0.309955,0.690045
443,0.311512,0.688488
444,0.310811,0.689189
445,0.310112,0.689888
446,0.311659,0.688341
447,0.310962,0.689038
448,0.312500,0.687500
449,0.311804,0.688196
450,0.313333,0.686667
451,0.312639,0.687361
452,0.311947,0.688053
453,0.311258,0.688742
454,0.312775,0.687225
455,0.312088,0.687912
456,0.313596,0.686404
457,0.312910,0.687090
458,0.312227,0.687773
459,0.313725,0.686275
460,0.315217,0.684783
461,0.314534,0.685466
462,0.316017,0.683983
463,0.315335,0.684665
464,0.314655,0.685345
465,0.316129,0.683871
466,0.315451,0.684549
467,0.316916,0.683084
468,0.316239,0.683761
469,0.317697,0.682303
470,0.317021,0.682979
471,0.316348,0.683652
472,0.317797,0.682203
473,0.317125,0.682875
474,0.316456,0.683544
475,0.315789,0.684211
476,0.315126,0.684874
477,0.314465,0.685535
478,0.315900,0.684100
479,0.315240,0.684760
480,0.316667,0.683333
481,0.318087,0.681913
482,0.317427,0.682573
483,0.316770,0.683230
484,0.318182,0.681818
485,0.317526,0.682474
486,0.316872,0.683128
487,0.316222,0.683778
488,0.315574,0.684426
489,0.316973,0.683027
490,0.316327,0.683673
491,0.315682,0.684318
492,0.315041,0.684959
493,0.316430,0.683570
494,0.315789,0.684211
495,0.317172,0.682828
496,0.316532,0.683468
497,0.315895,0.684105
498,0.317269,0.682731
499,0.316633,0.683367
500,0.316000,0.684000
501,0.317365,0.682635
502,0.316733,0.683267
503,0.316103,0.683897
504,0.315476,0.684524
505,0.316832,0.683168
506,0.316206,0.683794
507,0.317554,0.682446
508,0.316929,0.683071
509,0.316306,0.683694
510,0.315686,0.684314
511,0.315068,0.684932
512,0.316406,0.683594
513,0.315789,0.684211
514,0.315175,0.684825
515,0.316505,0.683495
516,0.315891,0.684109
517,0.315280,0.684720
518,0.316602,0.683398
519,0.315992,0.684008
520,0.317308,0.682692
521,0.316699,0.683301
522,0.316092,0.683908
523,0.317400,0.682600
524,0.318702,0.681298
525,0.320000,0.680000
526,0.321293,0.678707
527,0.322581,0.677419
528,0.323864,0.676136
529,0.323251,0.676749
530,0.322642,0.677358
531,0.322034,0.677966
532,0.321429,0.678571
533,0.320826,0.679174
534,0.320225,0.679775
535,0.319626,0.680374
536,0.319030,0.680970
537,0.318436,0.681564
538,0.317844,0.682156
539,0.317254,0.682746
540,0.316667,0.683333
541,0.316081,0.683919
542,0.317343,0.682657
543,0.318600,0.681400
544,0.318015,0.681985
545,0.317431,0.682569
546,0.318681,0.681319
547,0.319927,0.680073
548,0.319343,0.680657
549,0.320583,0.679417
550,0.321818,0.678182
551,0.321234,0.678766
552,0.322464,0.677536
553,0.321881,0.678119
554,0.323105,0.676895
555,0.322523,0.677477
556,0.321942,0.678058
557,0.323160,0.676840
558,0.322581,0.677419
559,0.322004,0.677996
560,0.321429,0.678571
561,0.320856,0.679144
562,0.320285,0.679715
563,0.321492,0.678508
564,0.320922,0.679078
565,0.320354,0.679646
566,0.319788,0.680212
567,0.320988,0.679012
568,0.320423,0.679577
569,0.319859,0.680141
570,0.319298,0.680702
571,0.318739,0.681261
572,0.318182,0.681818
573,0.317627,0.682373
574,0.318815,0.681185
575,0.318261,0.681739
576,0.317708,0.682292
577,0.318891,0.681109
578,0.318339,0.681661
579,0.319516,0.680484
580,0.318966,0.681034
581,0.318417,0.681583
582,0.317869,0.682131
583,0.317324,0.682676
584,0.316781,0.683219
585,0.316239,0.683761
586,0.315700,0.684300
587,0.316865,0.683135
588,0.316327,0.683673
589,0.317487,0.682513
590,0.318644,0.681356
591,0.318105,0.681895
592,0.317568,0.682432
593,0.317032,0.682968
594,0.316498,0.683502
595,0.315966,0.684034
596,0.315436,0.684564
597,0.316583,0.683417
598,0.316054,0.683946
599,0.315526,0.684474
600,0.316667,0.683333
601,0.316140,0.683860
602,0.317276,0.682724
603,0.316750,0.683250
604,0.316225,0.683775
605,0.315702,0.684298
606,0.315182,0.684818
607,0.316310,0.683690
608,0.315789,0.684211
609,0.315271,0.684729
610,0.316393,0.683607
611,0.315876,0.684124
612,0.315359,0.684641
613,0.314845,0.685155
614,0.314332,0.685668
615,0.313821,0.686179
616,0.314935,0.685065
617,0.314425,0.685575
618,0.313916,0.686084
619,0.313409,0.686591
620,0.312903,0.687097
621,0.312399,0.687601
622,0.311897,0.688103
623,0.311396,0.688604
624,0.310897,0.689103
625,0.310400,0.689600
626,0.309904,0.690096
627,0.309410,0.690590
628,0.310510,0.689490
629,0.310016,0.689984
630,0.311111,0.688889
631,0.310618,0.689382
632,0.310127,0.689873
633,0.309637,0.690363
634,0.309148,0.690852
635,0.310236,0.689764
636,0.309748,0.690252
637,0.309262,0.690738
638,0.310345,0.689655
639,0.309859,0.690141
640,0.309375,0.690625
641,0.308892,0.691108
642,0.308411,0.691589
643,0.307932,0.692068
644,0.307453,0.692547
645,0.308527,0.691473
646,0.308050,0.691950
647,0.307573,0.692427
648,0.308642,0.691358
649,0.308166,0.691834
650,0.309231,0.690769
651,0.308756,0.691244
652,0.308282,0.691718
653,0.309342,0.690658
654,0.308869,0.691131
655,0.308397,0.691603
656,0.307927,0.692073
657,0.307458,0.692542
658,0.306991,0.693009
659,0.306525,0.693475
660,0.307576,0.692424
661,0.308623,0.691377
662,0.308157,0.691843
663,0.309201,0.690799
664,0.308735,0.691265
665,0.308271,0.691729
666,0.307808,0.692192
667,0.308846,0.691154
668,0.308383,0.691617
669,0.309417,0.690583
670,0.308955,0.691045
671,0.308495,0.691505
672,0.308036,0.691964
673,0.309064,0.690936
